Experiment_no,Disyllable,Date,Dataset,Model,Train Loss,Train RMSE,Train R2,Test Loss,Test RMSE,Test R2,Eval RMSE,Eval R2,Training_time,Loss function,Optimizer,EarlyStopPatience,Batch size,Epochs,EarlyStop At,Learning rate,Label mode,Eval label mode,Train feature shape,Label shape,Load_save,Load_checkpoint
11,True,2020-February-07 08:41,ta/d_dataset_10/prep_exp11,bilstm_2,0.008675204628121335,0.08486112952232361,0.9632873257501466,0.01434916779529576,0.09347479045391084,0.9387069179911224,,,1503.158476114273,mse,AMSGRAD,15,64,1000,36,0.001,5,,"(124084, 17, 39)","(124084, 17)",,
12,True,2020-February-07 12:12,ta/d_dataset_10/prep_exp11,cnn_bilstm,0.016422611889965442,0.10726409405469894,0.9303974783322396,0.01915269551638453,0.11190619319677353,0.9192642252023564,,,1706.9848761558533,mse,AMSGRAD,5,64,1000,32,0.0001,5,,"(124084, 17, 39)","(124084, 17)",,
13,True,2020-February-07 22:38,ta/d_dataset_11/prep_exp11,bilstm,0.008670918242731923,0.07589714229106903,0.9661101344800496,0.015373220897360746,0.0854160264134407,0.9405586936151736,,,952.3606116771698,mse,AMSGRAD,15,64,1000,21,0.001,5,,"(88730, 17, 39)","(88730, 17)",,
19,True,2020-February-07 23:05,ta/d_dataset_11/prep_exp11,cnn_bilstm,0.009948436882538738,0.07809288799762726,0.9608862308090341,0.01584997776904698,0.08694079518318176,0.9382318100569602,,,1493.4778497219086,mse,AMSGRAD,20,16,1000,40,0.0001,5,,"(88730, 17, 39)","(88730, 17)",,
20,True,2020-February-07 23:36,ta/d_dataset_11/prep_exp11,cnn_bilstm,0.00980390054667611,0.07727893441915512,0.9615529486993406,0.016402507799909264,0.08733700215816498,0.9356114818095504,,,1786.094670534134,mse,AMSGRAD,20,8,1000,48,0.0001,5,,"(88730, 17, 39)","(88730, 17)",,
14,True,2020-February-08 00:28,ta/d_dataset_11/prep_exp11,cnn_bilstm,0.01155591523368195,0.08143959194421768,0.9548143876800894,0.014876006521869291,0.08598972111940384,0.9423549927992028,,,1066.6387498378754,mse,AMSGRAD,5,64,1000,29,0.0001,5,,"(88730, 17, 39)","(88730, 17)",,
15,True,2020-February-08 00:34,ta/d_dataset_11/prep_exp11,cnn_bilstm_2,0.01453637370320576,0.08915580809116364,0.9437120694098554,0.013976748407173029,0.08608128130435944,0.9455464486704621,,,298.70553016662603,mse,AMSGRAD,5,64,1000,11,0.001,5,,"(88730, 17, 39)","(88730, 17)",,
16,True,2020-February-08 00:46,ta/d_dataset_11/prep_exp11,dilation_cnn_bilstm,0.012551792969791371,0.0832880288362503,0.9511631476532928,0.01851389639212344,0.09166988730430604,0.928564955269568,,,666.2282464504243,mse,AMSGRAD,20,64,1000,33,0.001,5,,"(88730, 17, 39)","(88730, 17)",,
21,True,2020-February-08 13:12,ta/d_dataset_12/prep_exp11,bilstm,0.008622751151395023,0.07719171792268753,0.9665670623047742,0.014192454223240362,0.08568775653839111,0.9446322165398108,,,728.0670194625854,mse,AMSGRAD,15,64,1000,24,0.001,5,,"(59028, 17, 39)","(59028, 17)",,
25,True,2020-February-08 13:21,ta/d_dataset_12/prep_exp11,bilstm_2,0.006958810251377568,0.07067298889160156,0.9730506857161484,0.013543560191708732,0.08013570308685303,0.9466812669102208,,,510.34872150421137,mse,AMSGRAD,15,64,1000,25,0.001,5,,"(59028, 17, 39)","(59028, 17)",,
22,True,2020-February-08 13:31,ta/d_dataset_12/prep_exp11,cnn_bilstm,0.012881773830829895,0.08578784763813019,0.9499447532122364,0.013594157220810144,0.08574266731739044,0.9471365015402988,,,513.101686000824,mse,AMSGRAD,5,64,1000,20,0.0001,5,,"(59028, 17, 39)","(59028, 17)",,
27,True,2020-February-08 13:57,ta/d_dataset_12/prep_exp11,cnn_bilstm,0.008906430519602049,0.07533622533082962,0.9650396177457162,0.014244789168639766,0.08392404019832611,0.9440025619369341,,,1486.2177739143372,mse,AMSGRAD,20,16,1000,59,0.0001,5,,"(59028, 17, 39)","(59028, 17)",,
23,True,2020-February-08 15:33,ta/d_dataset_12/prep_exp11,cnn_bilstm_2,0.012985814354496876,0.0846983939409256,0.9495262093589144,0.012596731685199869,0.08257551491260529,0.9509367246900268,,,459.7856845855713,mse,AMSGRAD,5,64,1000,26,0.001,5,,"(59028, 17, 39)","(59028, 17)",,
24,True,2020-February-08 15:46,ta/d_dataset_12/prep_exp11,dilation_cnn_bilstm,0.011314023751860157,0.08135250210762024,0.9561362954261262,0.0142708688608281,0.08489065617322923,0.9441867816653914,,,717.2140531539917,mse,AMSGRAD,20,64,1000,54,0.001,5,,"(59028, 17, 39)","(59028, 17)",,
26,True,2020-February-08 15:54,ta/d_dataset_12/prep_exp11,cnn_bilstm_2,0.012554196850881069,0.08356861770153046,0.9512748851232022,0.013131702037615484,0.08323162794113159,0.9481487221879078,,,440.7438535690308,mse,AMSGRAD,5,32,1000,25,0.001,5,,"(59028, 17, 39)","(59028, 17)",,
28,True,2020-February-08 16:17,ta/d_dataset_12/prep_exp11,cnn_bilstm,0.009540642779872065,0.07715066522359848,0.9625812968180565,0.015095665220589612,0.08577201515436172,0.9406921941489933,,,1294.8096208572388,mse,AMSGRAD,20,8,1000,50,0.0001,5,,"(59028, 17, 39)","(59028, 17)",,
